report_id,prompt_id,prompt_name,trial,from_date,to_date,date_window,report_text,generation_mode
A_001,A,Evidence-first newsroom brief,1,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian Open Platform results for 2026-03-01 to 2026-05-05 show 240 articles for five countries: United Kingdom, United States, India, Brazil, and Japan. Raw coverage was concentrated in the United Kingdom with 90 articles; Japan had 18. On population-adjusted coverage, the United Kingdom remained highest at 1.32 per 1M, while India was lowest at 0.02 per 1M. This suggests a geographic attention gap, not proof of audience interest or policy importance. A useful next step is to assign editors to inspect coverage gaps and compare topic balance by country.",fixtures
A_002,A,Evidence-first newsroom brief,2,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"For 2026-03-01 to 2026-05-05, The Guardian Open Platform dashboard counted 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom received 90 articles and Japan received 18, creating a 5.0x raw coverage gap. Politics and crisis coverage dominated the topic pattern. Editors could use this as a planning signal by reviewing lower-coverage countries, while treating article volume as an attention measure rather than proof of impact.",fixtures
A_003,A,Evidence-first newsroom brief,3,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"## Guardian Coverage Brief

From 2026-03-01 to 2026-05-05, The Guardian dashboard tracked 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom led raw coverage with 90 articles, while Japan had 18, a 5.0x gap. The per-capita view also ranked the United Kingdom highest at 1.32 articles per 1M people, while India was lowest at 0.02. Politics and crisis coverage dominated the topic mix. Editors should review whether lower-coverage countries need planned follow-up, while noting that article counts measure attention, not impact.",fixtures
A_004,A,Evidence-first newsroom brief,4,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian Open Platform results for 2026-03-01 to 2026-05-05 show 240 articles for five countries: United Kingdom, United States, India, Brazil, and Japan. Raw coverage was concentrated in the United Kingdom with 90 articles; Japan had 18. On population-adjusted coverage, the United Kingdom remained highest at 1.32 per 1M, while India was lowest at 0.02 per 1M. This suggests a geographic attention gap, not proof of audience interest or policy importance. A useful next step is to assign editors to inspect coverage gaps and compare topic balance by country.",fixtures
A_005,A,Evidence-first newsroom brief,5,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"For 2026-03-01 to 2026-05-05, The Guardian Open Platform dashboard counted 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom received 90 articles and Japan received 18, creating a 5.0x raw coverage gap. Politics and crisis coverage dominated the topic pattern. Editors could use this as a planning signal by reviewing lower-coverage countries, while treating article volume as an attention measure rather than proof of impact.",fixtures
A_006,A,Evidence-first newsroom brief,6,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"## Guardian Coverage Brief

From 2026-03-01 to 2026-05-05, The Guardian dashboard tracked 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom led raw coverage with 90 articles, while Japan had 18, a 5.0x gap. The per-capita view also ranked the United Kingdom highest at 1.32 articles per 1M people, while India was lowest at 0.02. Politics and crisis coverage dominated the topic mix. Editors should review whether lower-coverage countries need planned follow-up, while noting that article counts measure attention, not impact.",fixtures
A_007,A,Evidence-first newsroom brief,7,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian Open Platform results for 2026-03-01 to 2026-05-05 show 240 articles for five countries: United Kingdom, United States, India, Brazil, and Japan. Raw coverage was concentrated in the United Kingdom with 90 articles; Japan had 18. On population-adjusted coverage, the United Kingdom remained highest at 1.32 per 1M, while India was lowest at 0.02 per 1M. This suggests a geographic attention gap, not proof of audience interest or policy importance. A useful next step is to assign editors to inspect coverage gaps and compare topic balance by country.",fixtures
A_008,A,Evidence-first newsroom brief,8,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"For 2026-03-01 to 2026-05-05, The Guardian Open Platform dashboard counted 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom received 90 articles and Japan received 18, creating a 5.0x raw coverage gap. Politics and crisis coverage dominated the topic pattern. Editors could use this as a planning signal by reviewing lower-coverage countries, while treating article volume as an attention measure rather than proof of impact.",fixtures
A_009,A,Evidence-first newsroom brief,9,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"## Guardian Coverage Brief

From 2026-03-01 to 2026-05-05, The Guardian dashboard tracked 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom led raw coverage with 90 articles, while Japan had 18, a 5.0x gap. The per-capita view also ranked the United Kingdom highest at 1.32 articles per 1M people, while India was lowest at 0.02. Politics and crisis coverage dominated the topic mix. Editors should review whether lower-coverage countries need planned follow-up, while noting that article counts measure attention, not impact.",fixtures
A_010,A,Evidence-first newsroom brief,10,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian Open Platform results for 2026-03-01 to 2026-05-05 show 240 articles for five countries: United Kingdom, United States, India, Brazil, and Japan. Raw coverage was concentrated in the United Kingdom with 90 articles; Japan had 18. On population-adjusted coverage, the United Kingdom remained highest at 1.32 per 1M, while India was lowest at 0.02 per 1M. This suggests a geographic attention gap, not proof of audience interest or policy importance. A useful next step is to assign editors to inspect coverage gaps and compare topic balance by country.",fixtures
